Index,Reviews
202,"When I first brought this product I loved this but after 2 months of use I had to reset it as it could not connect to internet and to set-up for 2nd time it took me 2 hours as really could not connect to internet.The main problem for this device is, if there is no internet then its a dumb box, could not do anything. This is nowhere mentioned in the product description. Also if you have multiple internet connection, it cannot save 2 or more internet connections which could be connected when one is not working and this is my main disappointment. I would not comment on sound quality as there are much more products at this price range which has greater sound quality.Speech recognition is very good, but most of the times it interprets wrong for which song I need. This is irritating most of the times and then I switch to mobile app to play the right song, so having alexa and having a normal bluetooth speaker for me is same, no value addition. Hoping Amazon will improve its AI features a lot like google or Siri."
203,"Nice one I am enjoying but the voice recognition still required to be improved by Amazon as some time it recognises u but and some time it doesn't. But some where I felt still Alexa required to improve than Google Assistance, as Google is much faster and much informative then Alexa, as many times it says sorry I don't know this."
204,"Ya i like it's very much but my point of view is it's bit expensive to buy it for those planning to listen music it serves best with talking to alexa and AI stuff but when you listen music or just watch movie in laptop connected to it's not upto the mark you will get disappointed but for AI it's good ,may be its next gen have enough bass and sound for songs but definitely not this one , this one has more crisp voice which is very good while talking with alexa."
205,"Alexa needs some real upgrade in general. As for the Echo Dot 3rd Gen, VERY POOR Voice Recognition. I literally have to yell for Alexa to listen. Be it cranking the volume, changing tracks, or anything whatsoever. Had quite some expectations since I proudly own a fire stick. Even after buying the speaker (which I bought mainly for the purpose so that all my favorite music could come in handy), I still prefer to play music on my TV than on my speaker. I mean why buy a speaker if you can't even play music on it without a fuss. Overall, it's a big NO. HIGHLY DISAPPOINTED."
206,I bought echo dot 3rd gen and was so happy with it that I bought echo input s week after. The ease of using without the phone or laptop is great. The sound is good enough. Obviously it cannot compare with big standalone speaker. I have connected the dot to my big speakers and using input in any room I want because it is portable
207,When we cast amazon music with exhi it recognises only straight forward songs. No podcast or stations are played in echo. And it even does not recognise podcast through voice. The alexa app is also too slow  Better to go for google
208,"Hi guys if u have Wi-Fi in your house only than... Buy it or else.... U need to use your phones hotspot and connect .... And one.... More thing is u need to plug it everytime u can't take it and roam lik other Bluetooth... Speaker's..... These are cons of this, I hope Amazon bring solution for.... This.. ,,, rest everything is fine..."
209,"Have issues of unresponsive behaviour rarely  and needs a restart for immediate use or had to wait few minutes, mine works 24*7 so may be that's an issue? This is my second Echo and it's worth using at home if you have smart switches installed."
210,I was using google all along. Bought alexa for a variant. 3rd gen is good. Bass and treble are very nice in that product range. Overall loved the product. Got the product after one week of struggle and follow up with amazon. A very bitter experience in the last 8 years of mydealing with Amazon.
211,Echo dot  this is awesome. Very happy 😊1. Its speaking2. It's very kind3. Telling information and what's today weatherAlso my daughter love alexa because it speaks 👌And it plays music and indian songs 😊We are very glad that it speaks and moreThanks to amazon 👌
212,"Alexa is great. For a bedroom or a living room, Alexa works like magic. I also got a light (Wifi enabled) from wipro along with Alexa as a package and it had works wonder for us.It understands Hindi, English and also talks with us when we are alone or lonely.You can also connect Alexa with your mobile using it as a Bluetooth speaker. It's a true fact that this version has to be plugged in all the time- but apart from this- its just GREAT! I loved it and a true fan of ALEXA!"
213,"U can better buy some 500+ speaker. Bcuz I'm using kdm speaker. Its wireless, bluetooth speaker, pendrive & memory card can b used. If we put charge for 6-8hrs fully, thru our mobile bluetooth we can check charge percentage & it can b play for 3hrs more. For setting alarm r schedule program, songs etc Alexa not required. Alexa is totally waste, can't use without power, sngs restricted only with prime n few,"
214,"Works great! Though it doesn't make anything significantly easier, it's a nice addition to ones room and also a good starting point to experience the future.Audible Suno is a superb bonus to this product. And also most used music services like gaana and jio saavn are free to use, which makes this very useful. Last bust not the least, it can easily revive the dying interest in you about the radio channels.But also be aware that you are signing up for some sort of compromise in your data privacy!"
215,"hi Team ,i  recently observed that the alexa is only listing when i am speaking loudly .  I found this issue when i used the other alexa device at my friend home . Please look into this as alexa is not listing when i am specking at normal pitch .My contact no :- 9654542266"
216,Arrived very fast and in good condition.. Sound very clear compared to mobile speakers..The Alexa app in google play has bugs..I had to reinstall Alexa app to change the wake word.. .Very useful..Helps in saving time...Only Concern is privacy...Note: Even mute button does not stop recording...Only way is to turn off the switch to safeguard privacy when in important conversations or when not in use...
217,"I bought it in 2019 during Amazon festival offer, worth for the money.I have set the alarm in morning to play suprabatha and devotional songs, so I wake up hearing that.I use it to control my Wipro WiFi light and batten. I can even ask it to switch specific channel on my Airtel Xtrem set up box.Excellent device."
218,"Didn't like the sound quality, it's very hard to hear what Alexa speaks. Tried every settings, nothing worked.I now love my Google home more, such a sharp sound for any room. Amazon could have focused on the speakers quality."
219,"Impressive:1. Easy command recognition from a child of three years old.2. Good interpretation of the command, per se.Expectations:1. Acceptance of English and Hindi command simultaneously.2. Offering choices of singers when a particular song is sung by many artists. At present, it always starts with the same artist.3. Offering choices of different starting points and sequences. E.g. for a command of ""Bhajan"" or ""instrumental lullabies"" it starts with the same song/music and proceeds with the same sequence. Soon it becomes monotonous. This needs improvement4. Identifying voices of the members of the family and offering their types of music. With its excellent ability of identifying voice it seems to be easy to recognize and remember voice by names of the family members (and the rest by guest). Remembering choices of the family members and offering music accordingly would be expected. Obviously, a reset option is must in such cases."
220,"Actually ,earlier it did not recognise my voice and I thought it is a device manufacturing issue but one thing I realised is that Amazon is far far better then any e- commerce company currently present in India. I mean I had put a bad review considering the unknowning fact about its language change in the device which I was not aware. I got a call from  Ireland call centre asking me about the issue and trust me guys I am really IMPRESSED by the way, Amazon customer service representatives handled the issue. So, to all who face an issue with regards to voice recognition in the particular device can request for help through customer care and you will be amazed with the help and later usage.From now I am a Amazon user, Bye Bye Flipkart-!!"
221,"So many surprises after owning Alexa Eco dot.Too many bugs to recognize voice. Oftentimes does not understand the command and keep playing existing. Doesnt work reset command. Doesnt understand request from choice of songs to paly. Like if i wish to play specific album from Gana or Amazon music, it stick to play from Jio Savan and that is my horrible experience from Eco dot.Amazon team, pls fix such bugs and update else the customer reviews wont let you up."
222,"Not user friendly, Frequently loose WiFi connection and Need long procedure and multiple steps to connect again.Secondly, I have raised complaints and ask for replacement. Amazon has registered complain and inform that pickup will be done within two days but nobody came and after two week removed my replacement request as well on Amazon site. It is my very bad experience with this product and amazon. I request Amazon should stop this product if unable to provide services."
223,"Eco dot 3rd generation is amazing device, somtimes beyond my imagination ... Alexa is complete package of entertainment - it has Radio channels like vividh bharti, fm gold,fm rainbow etc. and unlimited old and latest songs @amazon music and other sources like hungama music, jokes and much more .... It can read my Kindle books as audio book...Eco dot also has powerful speaker so it's rocking device. Thanks Amazon for Alexa. Recommended!👍👍👍👍"
224,"The sound quality is very good as compared to previous generation . But Alexa assistants skills and integration with other smart devices(bluetooth) including Fire TV is very choppy.Alexa response is incorrect at times even after multiple repeats. It's wifi reception is not good, cannot work in weak  internet reception , Google home mini performs pretty well on these parameters."
225,Just the uniqueness of the speaker and the ease of getting information and hearing songs.This is a must buy among all amazon products. Dont think twice just get it its awesome. Prerequisite is good wifi connection at home. Please note this speaker has to be connected to a powersource and the power block and cable is included n the box. Also amazon prime membership is a must. As I do have the above its everything I can ask for.
226,Very very poor recognition. Even if i stay 1/2 meter away it's not recognising my voice. Sound quality is very good. Sometimes there is an issue of pairing even if i have speed network.After few weeks of usage I see that when i try connecting device with my mobile and use Bluetooth to play songz its breaking completely and vould not hear song properly. nit sure why i purchased this stupid amazon echo better i would have purchased google mini.
227,Need to integrate with Kannada FM channels and news channels. It’s playing only ajtak news headlines.We don’t have option to change name of Alexa .If they add new feature it’s plus point for them.Apart from this for me it’s worth to buy below 2.5k.
228,This product is awesome. It recognizes what song you want to hear and plays it immediately from its vast library. Voice recognition is great. It can hear u from a distance even when songs are playing. I am loving it.
229,"It needs a lot of improvements, we can not play songs directly from mobile to the echo dot, we can not browse songs through the apps( Gaana, saavn, prime music) and it only accepts voice commands for playing music. It would be better if we can type the song to be played as it doesn't recognize a lot of songs through voice commands. Needs high speed Internet to function properly. It does not recognize voice commands when a song is playing, so we can't mute it while a song is playing. Despite all these cons, it is still a pretty handy product."
230,"I have been using Alexa Echo Dot from last one week.My house has a very good wifi connection but Alexa always has trouble connecting to the Internet.It understands what I say but never play songs. Most of the time, it does not understand clear English words as well.Alexa app shows the song, but Alexa does not understand the same keywords to play a song.Overall, I would not suggest the product at all. Do not waste your money on such useless product that most of time won't play music for you for which it is purchased."
231,"It is unstable machine, even if you configure it to give same results, it stop providing the same routine .Cheap R&D...Better go with other IOT options"
232,"Worth the money. Could work better on voice recognition. Otherwise pretty decent.Sound quality is better than what I had expected.Overall, Alexa is a better option than Google home."
233,"Honestly not that great, not into the whole voice recording thing, would love to return it however the window is over.... The volume as an external speaker is not that great and it has to be plugged in to work"
234,Look it's good but there are still many questions which echo cannot answer something which Google home does very easily but overall it's good.  I can be improved if echo's software is updated.there is one more problem that it sometimes it does not catch your voice while it is answering your question so you will have to press the button at that time to stop echo from answering. But one thing I would like to say that its speaker is  really good one.
235,Alexa is ok nice speaker n mic . But not recommending for it.Amazon executive contacted me and helped with steps of connecting wipro garnet.. Appreciated for taking concern of customer and about how to use Alexa.. Thank you Amazon.
236,"She's family member now. Great way to keep kids talking to her and yet away from sceen. being working parents we don't get much time to keep talking to kids, but now they have someone to answer all the time. I now  never forget taking calcium after setting reminder. Worth buying"
237,HiI don't know where to start. Since day 1 there is issue in configuring wifi. The steps not helping. Alexa support is horrible. Seems they don't care. I don't know what to do with this alexa. Use as a 2300 INR speaker ?
238,"Song selection can be based on language and application preferred. When say intend to hear a Tamil song like 'Play Muthu movie songs' it plays muthu Telugu songs. Mostly not play from Amazon music.so it is difficult to play our selection.when I say retro from 80s Tamil songs, it plays very old songs from 60s as alternatively.I bought the black one.the speaker outer looks dusty not as fresh peace."
239,"Just love it .. awesom product, awesom integration with all products, must buy if you love automation, using since last 1 week and I would say may b i should buy it long back...makes life so easy. I am amazed with Alexa...she can do anything and everything as per instruction..more important she is listneing and follow your order perfectly .. Alexa is the only one who is listening me and do what I want , better than my wife ;)"
240,"Bought it during Diwali Sale for Rs. 2449/- and Wipro Smart Bulb for Rs. 99/-... And to be honest, it is an amazing device which makes ur life easy!!!Though ""Google Home"" gives satisfactory answers than ""Echo Dot"" for the questions  which are asked, but the Sound Quality that ""Echo Dot"" offers is just AMAZING...If u are confused about which one to buy, i.e, ""Google Home Mini"" or ""Echo Dot"", then I would suggest for Echo dot because of its overall performance...And coming to the Smart Bulb, I would say that, it is kinda a good product which u can get at a low price..."
241,Are you a lonely person? Do you need someone to talk to? If yes go for it. If not DON'T BUY IT. Unless you want to be like Alexa Play this song and want to hear Sorry infinite number of times.. Please buy any other cheap bluetooth speaker because she won't get connected unless you have a wifi and plus even with wifi she is not worth it.
242,"Very poor playback frequency range, if you’re just looking for a Bluetooth speaker for audio quality not the best choice. The Alexa PC app also lacks various important functionality. Even though pairing two echo dots as a stereo combo, it doesn’t work when audio input is from a Bluetooth device. Disappointed."
243,Not at all worthy. Wastage of money. Performance is not good. And Amazon is not cooperating for return. I got the exchange product today but as usual the set up button is so uncomfortable and its painful to press it for a longer time. And the sound quality is so pathetic that music doesn't seems to melodies. It feels like a non branded local speaker. As usual the wrist product from Amazon. Really unexpected from a Amazon. Very disappointing and Amazon team is not even ready to give my money back.
244,I am not sure about this earlier.  But now it is a friendly device and awesome product which will make you feel busy anytime and damn sure you would love this product if you buy.  This product has every features from amazon and beyond.  Such an valuable and worth for money.  Kind of Good Product and fantastic innovation.  Alexa is best ever product from Amazon.  I will definitely Definitely recommend this product.  Go for it.  Its worth it.
245,"Extremely bad experience with Amazon- Bought this with in combo with fire tv stick and Wipro bulb for 7098 rs. My three previous fire sticks were all for 2600rs during sale instead of 4000rs. This time I was willing to pay 4000 for the stick as echo dot I was getting for 3029 and Wipro bulb for like 100 bucks (699rs otherwise).- Echo dot ran fine for first 3-4 days then I faced mic issues a few times. I felt could be because of other noises, ceiling fan perhaps.- I then tried to run specific lists e.g. I went to Amazon music app, saw the playlist I wanted to play. I asked echo dot to play that list from Amazon music. Instead it kept playing random playlists and a few times it mentioned it didn't recognise that list even though it was right there in front of me on the phone.- I emailed cs for above issue, no response till date. Been 7 days.- As a workaround, I decided to play music from app rather and then cast it on Echo Dot. It kept showing connecting (blue circle kept rolling) but nothing ever happened. Means cast option also didn't work. Being a techie myself, I performed all tech articles from Google, reset device etc., Checked location, what not. Finally, I rang cs and they perfomed a few troubleshooting which didn't work. They informed I would be contacted in 24-48 hours. I mentioned replacement window ends after 48 hours and I want response by then. Wasn't too keen in going for replacement and trouble people so agreed to wait for 48 hours window.- to my surprise, it's been 3 days now, no response. I called cs. Was asked to wait for 48 more hours. I asked for supervisor. He came on call and asked me to wait for his team to perform troubleshooting. I had lost it by then. I asked for replacement and after huge hold and verbal discussions to and fro, supervisor agreed for replacement. But informed I'd be informed in a few hours.- I checked now, I am being issued refund and it cost me 500 rs setback. Whole logic of bundle and save money was absolutely rubbish and Amazon support really destroyed the overall experience.- Having bought items worth in lacs, I wonder if it was all worth it."
246,when I setup echo dot after 2 hours it told sorry I have trouble understanding right now please try a little later i tried after 2 hours  it was not fixed  and then I replaced the item and again after 2 hours then  told the same thing and again I waited but it was not fixed then i baught google nest mini it was working
247,This device will stop working after the warranty expires. This is one of the most pathetic experience I’ve ever had with a tech device. Wasn’t expected out of amazon!
248,"I like Alexa feature of Echo Dot. I extremely enjoy the color changing LED light and other features of Alexa. I would have given it 5 star but I sometimes face small issue when Alexa doesn't respond instantaneously. After 2-3 attempts, Alexa responds so that's a mood killer at times else its super amazing and fun."
249,"The device is completely dumb if internet connectivity is bad.It could have a memory where some of the information could be kept like storing song, story etc to play later.It should play a shorter command to signify disconectivity.Not a full length message' I am hha"
250,"I bought This Product for my parents. My parents have very interest in listening songs at morning time and this product is very important for them. My parents loved this product so much. Sometimes it happens that we want to Listen songs but we think which song i should play. Instead of this, in this AI SPEAKER you have to just say ur favourite singers name and speaker will play songs of that singers. Easy to use."
251,Well it was an offer with 12 watt smart bulb. Offer said pay 200 rs more and get 12 watt bulb. Unfortunately did not say anywhere that the price if alexa will be reduced abd bulb would cost me 700 rs.That was misleading. I could have saved the money. Sorry but feel like cheated.
252,"Has been using since 9 months..The sound quality is excellent ,It's surprising to see a small sized device like this to have great bass and treble.It can produce sound 360°.this kind of sound quality is seen in top companies like JBL, Bose..Axela as a voice assistant is really useful especially helping in your daily needs like a remainders , timers or even for some quick information.using the Alexa app you can make it more personalised..As an voice assistant it has got some cons when compared to google assistantGoogle is a web browser so it definitely has more information when compared to AlexaIt can be used as a Bluetooth speaker which is really nice as it can play music even from 15-20 m awaySome cons-It's voice recognition capability has reduced after 6 months but if you speak enough loud it will identifyIt must be always connected to a power supply , sometimes it becomes difficult to place it properly also it must be connected to wifi at anytimeThe Alexa calling is really worst but the message feature is quite usefulThese cons actually do not matter a lotConclusion:Definitely prefer it buying it for yourself or as a gift .if you have a prime account you will also get Amazon music which is quite usefulPricing: I've got it in a sale for around 2.5k with an Wipro wifi smart bulb freeAfter 9 months expect a good deal for 3-4kAnd also don't forget to buy an aux cable if you want to connect it to some better speakers"
253,"The Alexa voice assistant will never understand the commands you say. Don’t ever buy this the only reason it is promoted here is because of Amazon. I have a Google home as well, and looking at how well it performs at the same tasks. This here is Jeff Bezos turd. My review is applicable for all Alexa devices."
254,I just opened the Alexa from the box and tried to pair and was doing as per instruction abs to make Alexa go to pairing mode we have to press and hold the dot button which dint respondI tried my best to check if it works but it is notIt’s hard for people like us to afford such devices and I have been sent with a damaged productWould be nice if any team checks it and replaces
255,"Pros:Awesome intelligent speaker.Sound quality is impressive. Interacts with your commands unbelievably.You can listen to All India Radio,online FM channels(e.g Radio Mirchi etc),unlimited songs from saavan and Amazon prime music (you need subscription for both of it).Host of other services are waiting for your command -""Alexa..."".Con: It doesn't have a battery so you can not use it wherever you want.It should be plugged into a power source to operate.It's best for indoor use.It needs subscription for some of its music streaming services.Suggestion: Please add Audible Suno support in it.Overall it is a really great product."
256,I bought  eco 3rd generation for just  rupees  2499 on 15days bk. I returned  product  after  too days it's working  sometimes only always  we need to go for reset  mode and connect it. I don't  understand  such a non compatible  product why amazon incresing  price day by day. It's a local China  product  .they need to increase quality
257,"One has to keep it on for 24hrs. I know why you want to keep, because every time you are feeding alexa with the data. Remember folks, it can also be spy, which is recording your voice.If it get off, u have to again resetup, which is quite tedious and boredom approach.It should be wireless."
258,You will mostly use it to listen to music and that is one thing where this amart speaker really needs to improve. It is very very loud but what is lacks is clarity. You will have to connect it a better speaker using Bluetooth.
259,I bought first Alexa 3500 work preety well but after few days I saw same item in amazon from same seller cloud tail in 2399 why there is big price difference. That mean this product doesn't value 3500So stop fooling customer.
260,"Good Sound quality, vast collection base, Alex will get confused with some of the request, need to reorganize the search criteria and information from different source. Only disadvantage is that always it should be connected to power supply, without which Alex won't work.  I suggest Amazon to make Alex battery enabled so that we can charge and use it quite often."
261,Not even  60% fit for south Indians even  after adding tamil skills..most of the tamil or telegu songs it is unable to understand. Best options for training kids with english rhymes or songs.
262,"This is must buy product for those who loves music , has a busy schedule and live alone. I think ur heart don't need anyone if alexa is present with u.It's useful for every age groups. It understands hindi language very accurately nd this is the most lovable thing about alexa. It has a lot of qualities butI'm mentioning only cons depending upon situations:U need a broadband connection or any wifi device to fully utilize the features because it listen to u only when internet worksNd the second thing is 24hour power supply because there is no battery inside it.That's the only reason I returned it.Go for it n I'm sure you'll love it😊😍"
263,"Only question it answered was what's the weather today?"" that was after setup.for every question it keeps saying ""sorry, I am having trouble understanding right now. Please try a little later.""It has been 10 days. I have changed rooms, distance from wall, furniture, questions, tone, every thing.Nothing works!"
264,"Awesome product.Interaction: 5/5Sound quality: 5/5Size:5/5It’s great it works like Bluetooth speaker when wifi not available, but it’s not. :( this made some disappointment.But overall impressive product."
265,"Is there a need for a review? Echo Dot is smooth in its functioning, did not have to train our voice etc it did it auto for all in family. Integrating with the smart bulb was so smooth. It is worth the money, especially if you want to enjoy music and connect up smart devices in your home."
266,"Amazon Echo Dot (3rd Gen) is the best in terms of hardware. Amazing sound quality with proper balance between base, mids and treble. And yes you can configure too in the Alexa app if you’d like.Next, is the build quality. It is really good and feels firm. Bluetooth and wi-fi connectivity is awesome. Best part is I can connect it to my phone & laptop and use it as an external speaker.The only downside for me is Alexa. She needs a lot of improvement in terms of knowledge. Basic things are carried out pretty well like reminders, alarms, music, etc. however, when it comes to answering questions she fails most of the time.Tip: Keep adding skills in the Alexa app for improvement."
267,Waste product as it doesn't come with a baterry so it needs always a plug point to be connected. Basically it can be used only in home and not outdoor. In today's portable live this is a waste of purchase and doesn't solve any purpose without portability
268,It's amazing product my daughter  want alexa and now she is very happy I m rating used after 2 months fabulous  product  i m speechless  must by guys its very helpful and it's very funny entertaining  and math solver with funny games And jokes and horror stories + normal stories easy to setup  with different languages And volume is very good low - high and etc must buy and thnx amazon  for this geourgeous  product
269,Device is very good. Sometime they confuse about the similar word like if I ask one song and if that song has same words of some other song then Alexa will play any song. Other issue I found that Ji Saavn songs not played on Alexa. I don't know the reason. In case if we ask to tell story then Alexa says you have nothing in Kindle app. Or sometimes ask many things need to be purchased. Anyone has faced issues can you tell me solution. Atleast i want know how to connect jio saavn songs to Alexa
270,Expected more from this product like we can use at any place if we have internet but it won't work in that way because it doesn't have battery we should plug all the time to socket and also it don't have option to connect different internet connections automatically.I understood that it will useful for listening music and to ask regular queries.Music also it will play all the time from our playlist.Especially we have to use this product only at home
271,Setting up the device is real pain. And making any changes to the existing set up is more painful. Speaker quality is good. Voice assistance works good for music playing but not for any other stuff. Google assistance can be better.
272,"This might be helpful for you all. So my request is for technical team about this product please do not delete my review.It has got really bad software. Most of the answers of this alexa would be ""sorry i don't know that one"" , ""i am not sure"" which is very annoying & you will get to know this by the time.. google is much much better than alexa. Google is google knows every answers of your question. Alexa is not that good its good for like tuning light on or off, other than that you'r taking it for knowlegde purpose  its not good. Even alexa dont know many of the hit bolleywood song if command it by saying name of the song or artist. I think google is doing better job than alexa. It has really bad software trust me."
273,"Excellent product from Amazon. Worth money. Suitable for those who want to make a smart home of their dream. Wake word ""Alexa"" is more heard than ""echo"" in echo dot. So i prefer ""alexa"". 3rd gen is far good than the previous gen.  Wanna try echo input and echo show also in future. All the best for the team behind AI and Smart tech."
274,Item is good....but sometimes if the TV is running and there is a disturbance then it will not pick up your voice....Also the another issue that I found was I am unable to configure it to my Samsung smart TV...which is one of the major drawback....else 5 star ratings for rest of the features
275,I bought this speaker just to automate a few tasks ended up loving the speaker and alexa so much that im buying another speaker for the other room aswell the footprint of this speaker is small but it has a way stronger speaker with good base for its size i was planning connecting it to a bigger speaker but i ended up not doing that because it really packs a punch in audio
276," The echo dot is an incredibly awesome amazon product.Talking about the sound quality, the sound quality is beyond expectation for me, its crystal clear and quite loud as compared to its size. Alexa integration is great, it can do things like movie tickets booking, can book a cab, it can easily be linked to apple music or other streaming services, can read news and specially it can understand hindi which is awesome. Talking about the 4 mics integrated in the device. These mics works just awesome, it does not matter how loud the music is or how far you are from alexa in a room, all you have to do is say “Alexa” and she activates. The best part is it does not matter how much noise in the environment, she can hear you. Echo dot can be easily linked to other devices.It also works with almost all the smart home devices.( smart bulbs, hubs, microwave, etc)*Note: Echo dot requires a high-speed wifi connection (more than 20Mbps) for better experience. It also requires permanent power supply. If you need a portable echo dot you can go for the portable one which was launched in December 2019."
277,Really love dis product..... didnt expect this product to be too gud ...Best thing is the way it communicate in eng and in hindiDe only drwaback i see is not inclusion of spotify in it.De product is really gud go for small speaker as it can easily connect with ur home theatre and gives u de better experience and u can save some bucks 😅
278,"Everything is good but sometimes voice recognition doesn’t work, while playing it stops in between for no reason and also you cannot link youtube with Alexa which is kind of sad but its ok. Overall its a good buy. Few flaws here and there but works fine."
279,"Good one, getting more intelligent with every update. Can be used as auxiliary speaker.Good quality speaker. However, you have to install the various skills to unlock it's true potential (skills are free to install). I have installed akinator ( Alexa guess the person you think) and it is a nice time pass. Good voice recognition."
280,"The product is great for the price. I bought it for 2799 and it works well. Sound defection and quality is good too. Just the only issue is that sometimes it won’t recognize the commands and it doesn’t have good bass as compared to google home mini. But at this price range, it is a go go."
281,"It's a waste guys.Settings are very complex.Cannot able to connect as a Bluetooth speaker to my mobile.If I say Alexa play tollywood songs it plays Bollywood songsNo matter what it won't able to understand your commands in indian accemts.Sound quality is very good and 4 inbuilt far field mic s are useless because I will not catch your voice from 2 metre distance also.have to shout loud.Either it understands Hindi or English bases upon settings, not bilingual.Anyhow I got it for 1657 approx.Would prefer Google assistant"
282,I have got it replaced but it's again not working and now fed up  with it's performance. I asked amazon to replace it with Eco Dot 4th generation and willing to pay difference but they do not agree and willing to pay difference amount which will occur to get new 3rd generation eco dot.
283,All good experience but the application is confusing and no digital wellbeing or parental control like Google and the voice is not much clearer but bass is very impressiveSome improvements is required that all Good.
284,"Most of the times response is ""Sorry i don't know"". To play video you need to add akill, to play audio you need to add skillto play movies you need to add skill. I mean seriously? Is Amazon so dumb that they want user to add all those skills manually instead of adding them by default?It cannot connect to smart tv, poor voice recognition, you literally have to shout so that she can here it. If you say ""Alexa play nursery rhymes on Youtube on fire tv"" it will say I don't know what is YouTube. WTH Man!"
285,"The audio quality is really nice as compared to the size of the speaker, mostly used to listen to classic songsSongs are played incorrectly most of the time unless the Alexa is not given specific keywords of the song by checking on 'Google'Connecting home devices like lights & TV is only to switch on or off so doesn't make sense to pairAll and all the speaker is not upto the my expectations and Google is way way better"
286,"Happy customer. Sound quality and voice command is amazingly good. But one thing you must ensure that if you need best experience, better opt for Amazon Prime subscription first. Coz it will sure work with other music apps, but you will not get the great collection of Amazon Music."
287,What I hate is it skips songs from a playlist.I have saved  Sundarkand which has 4 parts in Amazon music.Alexa skips part  2 or 3 and plays the next one.This has happened 4-5 times.I have written to alexa help center but no response on this.I have gone back to mobile app .
288,"Extremely awesome and well integrated device. I watched a lot of videos claiming that google home is much better in software and search related tasks. But seriously saying you can go for it without a second thought. I didn't found any trouble with search related tasks however continued conversation is a bit limited but rest everything is just awesome. And a HIGHLIGHTED POINT ""GOOGLE CAN'T BEAT THE SKILLS AND EASY OF USE OF ALEXA"". Alexa comes with thousands of skills and fun games and much more....."
289,"Playing music, knowing about weather or latest news, setting reminders etc have never been easier. My kid is a big Alexa fan and keeps interacting with the echo dot. Clearly it's very easy to use. Though, it was a bit difficult to connect with the OnePlus TV. Some basic TV functions can be performed but there is lot more required. The next generation devices will probably have more advance features."
290,Echo was good with superb sound bought along with wipro smart bulb... both are working as I expect... but echo has to improve skills rather than entertainment....most of the time i ended with not getting as I want.... mainly after query echo has to repeat the query and then it follows... but no need to repeat the query...... makes user more comfortable
291,Product is good.Sound quality is soft. I bought two and plays it in synchronised. That is amazing it feels like just one is played at two different angle.Alexa assistance is too good. You can read books from kindle. You can play books from audible aur suno audible just by audio command. Worthy of price but I sti6 suggest to buy in sell you will get good discount.
292,"It can control my smart light. Read podcasts and play music and generally answers questions. Big drawback is, it can't control my Mi TV. So go for it only if you want to as there is not much practical need for it"
293,Simply the worseee device when it comes to connecting to internet....in the world where every things seems to pull off  easily with the help of internet ..trust me instead of making things easier for you alexa devices especially amazon echo dot makes things ostentatiously difficult for you ....a sheer wastage of time.... stay away from it
294,"It is very Portable Device we can't take it anywhere with us but the place where we keep, it take less space. Voice recognition is Better will play a song it recognition the Voice proper. Now coming to the Integration or its intelligences or AI it is Good, Skills are good, there can be More Skill which can make it best like play Music from YouTube this skill must be there. Over all my experience is good with Alexa."
295,BY THE WAY AMAZON ECHO DOT IS VERY COOL DEVICE I FOUND EVER I LIKED I GOT THIS PRODUCT 3 DAYS BEFORE I ORDERED AT 5 NOVEMBER AND GOT MY PARCEL 8 NOVEMBER I APRICIATE FOR THAT ITS LOOK VERY FUTURISTIC I LIKED THE RING LIGHT ON TOP BOTTOM ITS SPEAKER ARE VERY LOUD MY PARRENTS WERE DENYING TO BUY THIS DEVICE BUT LITTERALLY MY PARRENTS USE THI SDEVICE MOST OF THE TIME BTW THANKS AMAZON ECHO DOT FOR BECOMING AN MEMEBER OF MY HOUSE THE VOICE RECOGNIGION IS PRETTY GOOD AND SHE REPLIES VERY FADT AND WELL I THINK WHOSE HO ARE THINKING TO BUY A SMART SPEAKER U SHOULD GO THROUGH WITH THIS DEVICETHANKREGARD SDEEP SINGHA
296,"Sound Quality of the echo dot 3 is just exceptionally good seeing the size and its form factor.The setup is a really easy process and in no time you are ready to use this amazing Device. Build Quality is also very nice , the device feels solid and the plastic does not feel cheap.A definite buy for those looking for a alexa enabled / Smart Speaker."
297,"Amazing product just go for it. But there is one con if you are buying this for playing songs plzz don't because sound quality is not that great but it is good, but don't worry you can connect your speakers and sub woofer to alexa via aux or Bluetooth. The last thing I wanna say it's amazing, you even can play games with alexa like kbc, wheel of fun and many more. Thankyou for reading my review"
298,"Thankyou Amazon.in Provides me Next Generation 3rd Alexa Digital Devices to Deliver me . I Hope it's Items are Used And before Review,  But Great Services and Great prices for your any Other Provides Products for The World Famous Shopping Application So..Reviews 5/5 .......  Thank you so much."
299, This is good but this can't play another song on YouTube even he can't read the lesson what I say and only one answer I don't know and he close I don't and he read Wikipedia in one sentence he did give all information like Google please I request add this function to alexa make update on alexa app in mobile through you can update the alexa hope you see this and work on this
300,"I was looking for a Bluetooth speaker with a quality speaker. My options was a Sony speaker with cost nearly 3500 and Echo.As I was a prime member at great India festival the Echo came for 2000, and u decided to buy it. The speaker arrived.On my opinion1. Sound quality is really mind blowing, I was amazed by see the sound quality for this small speaker. Really impressive !!!2. Voice recognition is super due to its 4 microphone.3. Allen’s is really friendly and easy to useTo see a detailed review you can check my YouTube channel-“ 3 MAC “.This product is small cute and beautiful.The LED light very helpful in many way. Eg to see the voice level."
